City,x
Clermont,107.00
Cleveland,1310.00
Clifton Forge,3.00
Clinch,26.00
Clinton,217.00
Cloud,7.00
Coahoma,139.00
Coal,13.00
Cobb,857.00
Cochise,199.00
Cochran,3.00
Cocke,96.00
Coconino,169.00
Codington,9.00
Coffee,243.00
Coffey,2.00
Coke,4.00
Colbert,78.00
Cole,78.00
Coleman,16.00
Coles,12.00
Colfax,17.00
Colleton,189.00
Collier,89307.00
Collin,334.00
Collingsworth,3.00
Colonial Heights,21.00
Colorado,50.00
Colquitt,159.00
Columbia,37374.00
Columbiana,35.00
Columbus,260.00
Colusa,36.00
Comal,96.00
Comanche,1515.00
Concho,5.00
Concordia,39.00
Conecuh,26.00
Conejos,13.00
Contra Costa,4729.00
Converse,16.00
Conway,53.00
Cook,669751.00
Cooke,73.00
Cooper,17.00
Coos,112.00
Coosa,39.00
Copiah,24.00
Cortland,15.00
Coryell,48.00
Coshocton,23.00
Costilla,2.00
Cottle,3.00
Cotton,16.00
Cottonwood,5.00
Covington,295.00
Coweta,110.00
Cowley,24.00
Cowlitz,113.00
Craig,49.00
Craighead,154.00
Crane,5.00
Craven,161.00
Crawford,275.00
Creek,137.00
Crenshaw,47.00
Crisp,89.00
Crittenden,409.00
Crockett,43.00
Crook,22.00
Crosby,17.00
Cross,49.00
Crow Wing,29.00
Crowley,4.00
Culberson,16.00
Cullman,59.00
Culpeper,42.00
Cumberland,2655.00
Cuming,2.00
Currituck,24.00
Curry,122.00
Custer,186.00
Cuyahoga,30247.00
Dade,1511781.00
Daggett,4.00
Dakota,111.00
Dale,88.00
Dallam,17.00
Dallas,126839.00
Dane,292.00
Daniels,1.00
Danville,252.00
Dare,45.00
Darke,31.00
Darlington,293.00
Dauphin,731.00
Davidson,12653.00
Davie,50.00
Daviess,108.00
Davis,117.00
Davison,5.00
Dawes,3.00
Dawson,80.00
Day,3.00
De Kalb,8163.00
De Soto,7681.00
De Witt,27.00
Deaf Smith,23.00
Dearborn,16.00
Decatur,124.00
Deer Lodge,12.00
Defiance,15.00
DeKalb,44.00
Del Norte,62.00
Delaware,1737.00
Delta,46.00
Dent,19.00
Denton,318.00
Denver,9927.00
Des Moines,34.00
Deschutes,103.00
Desha,60.00
DeSoto,83.00
Deuel,6.00
Dewey,5.00
Dickens,6.00
Dickenson,64.00
Dickey,2.00
Dickinson,29.00
Dickson,44.00
Dillingham,11.00
Dillon,197.00
Dimmit,35.00
Dinwiddie,107.00
District of Columbia,133621.00
Divide,1.00
Dixie,2755.00
Doddridge,8.00
Dodge,79.00
Dona Ana,425.00
Doniphan,3.00
Donley,7.00
Dooly,16.00
Door,12.00
Dorchester,247.00
Dougherty,686.00
Douglas,2400.00
Drew,51.00
Dubois,17.00
Dubuque,25.00
Duchesne,18.00
Dukes,4.00
Dundy,2.00
Dunklin,49.00
Dunn,12.00
DuPage,109.00
Duplin,202.00
Durham,1795.00
Dutchess,296.00
Duval,529579.00
Dyer,69.00
Eagle,20.00
Early,19.00
East Baton Rouge,7782.00
East Carroll,37.00
East Feliciana,32.00
Eastland,25.00
Eaton,45.00
Eau Claire,43.00
Echols,4.00
Ector,620.00
Eddy,98.00
Edgar,5.00
Edgecombe,141.00
Edgefield,69.00
Edmonson,10.00
Edmunds,9.00
Edwards,16.00
Effingham,17.00
El Dorado,254.00
El Paso,3973.00
Elbert,59.00
Elk,36.00
Elkhart,259.00
Elko,80.00
Elliott,21.00
Ellis,231.00
Ellsworth,4.00
Elmore,155.00
Emanuel,57.00
Emery,10.00
Emmet,14.00
Emporia,27.00
Erath,41.00
Erie,5873.00
Escambia,113294.00
Esmeralda,4.00
Essex,21205.00
Estill,20.00
Etowah,349.00
Eureka,2.00
Evangeline,54.00
Evans,9.00
Fairbanks North Star,107.00
Fairfax,921.00
Fairfield,3310.00
Fall River,5.00
Fallon,1.00
Falls,45.00
Falls Church,12.00
Fannin,76.00
Faribault,6.00
Faulk,1.00
Faulkner,115.00
Fauquier,66.00
Fayette,1774.00
Fentress,26.00
Fergus,6.00
Ferry,17.00
Fillmore,12.00
Finney,60.00
Fisher,7.00
Flagler,10118.00
Flathead,46.00
Fleming,9.00
Florence,508.00
Floyd,404.00
Fluvanna,25.00
Foard,1.00
Fond du Lac,38.00
Ford,62.00
Forest,30.00
Forrest,237.00
Forsyth,1450.00
Fort Bend,572.00
Fountain,8.00
Franklin,20084.00
Frederick,246.00
Fredericksburg,55.00
Freeborn,11.00
Freestone,39.00
Fremont,173.00
Fresno,7778.00
Frio,37.00
Fulton,45949.00
Furnas,3.00
Gadsden,14274.00
Gage,18.00
Gaines,20.00
Galax,21.00
Gallatin,35.00
Gallia,38.00
Galveston,1069.00
Garden,1.00
Garfield,147.00
Garland,293.00
Garrard,16.00
Garrett,29.00
Garvin,58.00
Garza,9.00
Gasconade,3.00
Gaston,707.00
Gates,19.00
Geary,64.00
Geauga,28.00
Gem,10.00
Genesee,4824.00
Geneva,49.00
Gentry,1.00
George,15.00
Georgetown,132.00
Gibson,99.00
Gila,70.00
Gilchrist,6912.00
Giles,72.00
Gillespie,18.00
Gilmer,21.00
Gilpin,11.00
Glacier,4.00
Glades,1219.00
Gladwin,16.00
Glascock,2.00
Glasscock,2.00
Glenn,38.00
Gloucester,231.00
Glynn,249.00
Gogebic,13.00
Golden Valley,2.00
Goliad,10.00
Gonzales,71.00
Goochland,37.00
Goodhue,18.00
Gooding,12.00
Gordon,54.00
Goshen,8.00
Gosper,1.00
Gove,2.00
Grady,334.00
Grafton,43.00
Graham,31.00
Grainger,32.00
Grand,30.00
Grand Forks,31.00
Grand Isle,7.00
Grand Traverse,22.00
Granite,3.00
Grant,392.00
Granville,118.00
Gratiot,14.00
Graves,38.00
Gray,62.00
Grays Harbor,111.00
Grayson,265.00
Greeley,1.00
Green,15.00
Green Lake,9.00
Greenbrier,40.00
Greene,930.00
Greenlee,5.00
Greensville,26.00
Greenup,22.00
Greenville,1738.00
Greenwood,202.00
Greer,17.00
Gregg,570.00
Grenada,90.00
Griggs,2.00
Grimes,59.00
Grundy,44.00
Guadalupe,156.00
Guernsey,17.00
Guilford,2224.00
Gulf,1739.00
Gunnison,7.00
Guthrie,3.00
Gwinnett,1248.00
Habersham,23.00
Haines,1.00
Hale,81.00
Halifax,416.00
Hall,278.00
Hamblen,94.00
Hamilton,11917.00
Hamlin,1.00
Hampden,948.00
Hampshire,84.00
Hampton,599.00
Hancock,316.00
Hanover,100.00
Hansford,3.00
Hanson,1.00
Haralson,41.00
Hardee,6615.00
Hardeman,81.00
Hardin,257.00
Harding,2.00
Hardy,29.00
Harford,244.00
Harlan,135.00
Harmon,8.00
Harnett,315.00
Harney,9.00
Harper,5.00
Harris,251137.00
Harrison,1069.00
Harrisonburg,40.00
Hart,46.00
Hartford,2713.00
Hartley,3.00
Harvey,10.00
Haskell,35.00
Hawaii,251.00
Hawkins,48.00
Hays,125.00
Haywood,103.00
Heard,5.00
Hemphill,8.00
Hempstead,61.00
Henderson,451.00
Hendricks,19.00
Hendry,17769.00
Hennepin,5343.00
Henrico,722.00
Henry,640.00
Herkimer,27.00
Hernando,33156.00
Hertford,77.00
Hettinger,1.00
Hickman,34.00
Hickory,4.00
Hidalgo,1675.00
Highland,20.00
Highlands,31967.00
Hill,105.00
Hillsborough,437112.00
Hillsdale,35.00
Hinds,6407.00
Hinsdale,6.00
Hitchcock,3.00
Hocking,20.00
Hockley,30.00
Hoke,119.00
Holmes,4738.00
Holt,5.00
Honolulu,2234.00
Hood,39.00
Hood River,17.00
Hopewell,82.00
Hopkins,151.00
Horry,767.00
Hot Spring,74.00
Hot Springs,13.00
Houghton,17.00
Houston,620.00
Howard,496.00
Howell,45.00
Hubbard,13.00
Hudson,2573.00
Hudspeth,11.00
Huerfano,11.00
Hughes,106.00
Humboldt,374.00
Humphreys,44.00
Hunt,200.00
Hunterdon,56.00
Huntingdon,49.00
Huntington,21.00
Huron,40.00
Hutchinson,32.00
Hyde,12.00
Iberia,112.00
Iberville,99.00
Ida,1.00
Idaho,18.00
Imperial,271.00
Independence,54.00
Indian River,27346.00
Indiana,80.00
Ingham,652.00
Inyo,29.00
Ionia,49.00
Iosco,22.00
Iowa,20.00
Iredell,232.00
Irion,5.00
Iron,64.00
Iroquois,5.00
Irwin,20.00
Isabella,36.00
Isanti,8.00
Island,32.00
Isle of Wight,53.00
Itasca,23.00
Itawamba,27.00
Izard,8.00
Jack,12.00
Jackson,44626.00
James City,62.00
Jasper,397.00
Jay,6.00
Jeff Davis,31.00
Jefferson,41139.00
Jefferson Davis,106.00
Jenkins,20.00
Jennings,31.00
Jerome,15.00
Jersey,4.00
Jessamine,28.00
Jewell,2.00
Jim Hogg,4.00
Jim Wells,108.00
Jo Daviess,1.00
Johnson,584.00
Johnston,356.00
Jones,261.00
Josephine,181.00
Juab,2.00
Juneau,1246.00
Juniata,18.00
Kalamazoo,358.00
Kalkaska,11.00
Kanabec,11.00
Kanawha,844.00
Kandiyohi,25.00
Kane,311.00
Kankakee,151.00
Karnes,18.00
Kauai,58.00
Kaufman,210.00
Kay,363.00
Kearney,2.00
Kearny,4.00
Keith,5.00
Kemper,6.00
Kenai Peninsula,15.00
Kendall,33.00
Kenedy,3.00
Kennebec,74.00
Kenosha,178.00
Kent,1679.00
Kenton,139.00
Keokuk,4.00
Kern,4930.00
Kerr,90.00
Kershaw,123.00
Ketchikan Gateway,21.00
Kewaunee,11.00
Keweenaw,1.00
Kimball,2.00
Kimble,9.00
King,6090.00
King and Queen,12.00
King George,31.00
King William,12.00
Kingfisher,10.00
Kingman,2.00
Kings,208.00
Kinney,5.00
Kiowa,26.00
Kit Carson,6.00
Kitsap,188.00
Kittitas,20.00
Kittson,6.00
Klamath,156.00
Kleberg,76.00
Klickitat,27.00
Knott,41.00
Knox,2005.00
Kodiak Island,8.00
Koochiching,4.00
Kootenai,99.00
Kosciusko,21.00
Kossuth,3.00
La Crosse,53.00
La Paz,42.00
La Plata,36.00
La Porte,195.00
La Salle,62.00
Labette,16.00
Lackawanna,126.00
Laclede,39.00
Lafayette,2005.00
Lafourche,188.00
Lagrange,111.00
Lake,74538.00
Lake of the Woods,1.00
Lamar,177.00
Lamb,36.00
Lamoille,19.00
Lampasas,28.00
Lancaster,900.00
Lander,10.00
Lane,355.00
Langlade,9.00
Lanier,16.00
Lapeer,66.00
Laramie,95.00
Larimer,178.00
Larue,12.00
Las Animas,39.00
Lassen,54.00
Latah,30.00
Latimer,31.00
Lauderdale,837.00
Laurel,169.00
Laurens,318.00
Lavaca,34.00
Lawrence,404.00
Le Flore,112.00
Le Sueur,11.00
Lea,202.00
Leake,6.00
Leavenworth,62.00
Lebanon,106.00
Lee,279450.00
Leelanau,6.00
Leflore,252.00
Lehigh,649.00
Lemhi,7.00
Lenawee,56.00
Lenoir,250.00
Leon,101285.00
Leslie,76.00
Letcher,39.00
Levy,4116.00
Lewis,169.00
Lewis and Clark,30.00
Lexington,488.00
Liberty,963.00
Licking,64.00
Limestone,147.00
Lincoln,850.00
Linn,235.00
Lipscomb,2.00
Litchfield,52.00
Little River,23.00
Live Oak,21.00
Livingston,319.00
Llano,23.00
Logan,265.00
Long,16.00
