City,x
Somervell,7.00
Sonoma,643.00
Southampton,57.00
Spalding,223.00
Spartanburg,1009.00
Spencer,15.00
Spokane,865.00
Spotsylvania,93.00
St. Bernard,36.00
St. Charles,289.00
St. Clair,2069.00
St. Croix,24.00
St. Francis,138.00
St. Francois,50.00
St. Helena,16.00
St. James,44.00
St. John the Baptist,172.00
St. Johns,37979.00
St. Joseph,1270.00
St. Landry,168.00
St. Lawrence,48.00
St. Louis,1903.00
St. Louis city,55790.00
St. Lucie,120631.00
St. Martin,65.00
St. Mary,158.00
St. Mary's,107.00
St. Tammany,375.00
Stafford,96.00
Stanislaus,1425.00
Stanley,2.00
Stanly,110.00
Stanton,7.00
Stark,721.00
Starke,33.00
Starr,213.00
Staunton,26.00
Ste. Genevieve,33.00
Stearns,63.00
Steele,9.00
Stephens,137.00
Stephenson,23.00
Steuben,80.00
Stevens,56.00
Stewart,22.00
Stillwater,4.00
Stoddard,20.00
Stokes,64.00
Stone,55.00
Stonewall,4.00
Storey,9.00
Story,23.00
Strafford,58.00
Stutsman,10.00
Sublette,18.00
Suffolk,14160.00
Sullivan,394.00
Sully,1.00
Summers,26.00
Summit,1451.00
Sumner,148.00
Sumter,22393.00
Sunflower,80.00
Surry,129.00
Susquehanna,43.00
Sussex,329.00
Sutter,178.00
Sutton,9.00
Suwannee,10494.00
Swain,15.00
Sweet Grass,2.00
Sweetwater,78.00
Swift,3.00
Swisher,18.00
Switzerland,3.00
Talbot,68.00
Taliaferro,8.00
Talladega,121.00
Tallahatchie,4.00
Tallapoosa,135.00
Tama,7.00
Taney,41.00
Tangipahoa,314.00
Taos,92.00
Tarrant,19191.00
Tate,14.00
Tattnall,29.00
Taylor,13925.00
Tazewell,220.00
Tehama,108.00
Telfair,20.00
Teller,33.00
Tensas,15.00
Terrebonne,301.00
Terrell,38.00
Terry,31.00
Teton,15.00
Texas,49.00
Thayer,3.00
Thomas,105.00
Throckmorton,7.00
Thurston,174.00
Tift,137.00
Tillamook,37.00
Tillman,30.00
Tioga,67.00
Tippah,23.00
Tippecanoe,101.00
Tipton,74.00
Tishomingo,18.00
Titus,79.00
Todd,30.00
Tolland,21.00
Tom Green,219.00
Tompkins,58.00
Tooele,46.00
Toole,2.00
Toombs,95.00
Torrance,13.00
Towner,1.00
Towns,6.00
Traill,2.00
Transylvania,32.00
Traverse,2.00
Travis,3849.00
Treasure,1.00
Trego,2.00
Trempealeau,10.00
Treutlen,13.00
Trigg,15.00
Trimble,2.00
Trinity,89.00
Tripp,1.00
Troup,173.00
Trousdale,13.00
Trumbull,243.00
Tucker,9.00
Tulare,1799.00
Tulsa,10358.00
Tunica,32.00
Tuolumne,59.00
Turner,14.00
Tuscaloosa,491.00
Tuscarawas,33.00
Tuscola,31.00
Twiggs,9.00
Twin Falls,67.00
Tyler,53.00
Tyrrell,15.00
Uinta,29.00
Uintah,35.00
Ulster,167.00
Umatilla,105.00
Unicoi,13.00
Union,5860.00
Upshur,103.00
Upson,52.00
Upton,13.00
Utah,164.00
Uvalde,60.00
Val Verde,62.00
Valencia,106.00
Valley,14.00
Van Buren,175.00
Van Wert,12.00
Van Zandt,95.00
Vance,228.00
Vanderburgh,372.00
Venango,47.00
Ventura,1307.00
Vermilion,112.00
Vermillion,6.00
Vernon,179.00
Victoria,275.00
Vigo,130.00
Vilas,18.00
Vinton,19.00
Virginia Beach,1160.00
Volusia,191637.00
Wabash,23.00
Wabasha,3.00
Wabaunsee,3.00
Wadena,7.00
Wagoner,83.00
Wahkiakum,5.00
Wake,1585.00
Wakulla,8824.00
Waldo,32.00
Walker,260.00
Walla Walla,46.00
Waller,96.00
Wallowa,5.00
Walsh,5.00
Walthall,16.00
Walton,20990.00
Walworth,66.00
Wapello,27.00
Ward,69.00
Ware,113.00
Warren,838.00
Warrick,23.00
Wasatch,10.00
Wasco,48.00
Waseca,10.00
Washakie,9.00
Washburn,13.00
Washington,11211.00
Washita,13.00
Washoe,950.00
Washtenaw,406.00
Watauga,42.00
Watonwan,6.00
Waukesha,88.00
Waupaca,22.00
Waushara,10.00
Wayne,390694.00
Waynesboro,33.00
Weakley,43.00
Webb,800.00
Weber,262.00
Webster,233.00
Weld,316.00
Wells,15.00
West Baton Rouge,68.00
West Carroll,11.00
West Feliciana,17.00
Westchester,1314.00
Westmoreland,335.00
Weston,7.00
Wetzel,15.00
Wexford,29.00
Wharton,3663.00
Whatcom,134.00
Wheatland,1.00
Wheeler,22.00
White,184.00
White Pine,30.00
Whiteside,13.00
Whitfield,136.00
Whitley,93.00
Whitman,15.00
Wichita,540.00
Wicomico,214.00
Wilbarger,31.00
Wilcox,61.00
Wilkes,163.00
Wilkin,3.00
Wilkinson,19.00
Will,452.00
Willacy,41.00
Williams,28.00
Williamsburg,192.00
Williamson,262.00
Wilson,456.00
Winchester,24.00
Windham,41.00
Windsor,21.00
Winkler,16.00
Winn,18.00
Winnebago,752.00
Winneshiek,2.00
Winona,18.00
Winston,37.00
Wirt,4.00
Wise,101.00
Wolfe,16.00
Wood,226.00
Woodbury,108.00
Woodford,22.00
Woodruff,14.00
Woods,4.00
Woodson,4.00
Woodward,25.00
Worcester,705.00
Worth,36.00
Wrangell-Petersburg,8.00
Wright,28.00
Wyandot,12.00
Wyandotte,1947.00
Wyoming,109.00
Wythe,32.00
Yadkin,41.00
Yakima,642.00
Yalobusha,27.00
Yamhill,73.00
Yancey,11.00
Yankton,12.00
Yates,6.00
Yavapai,264.00
Yazoo,41.00
Yell,38.00
Yellow Medicine,4.00
Yellowstone,137.00
Yoakum,8.00
Yolo,271.00
York,1074.00
Young,26.00
Yuba,185.00
Yukon-Koyukuk,1.00
Yuma,272.00
Zapata,18.00
Zavala,40.00
